"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.28 5:00 PM GMT","Autódromo José Carlos Pace - Grand Prix","VRS GT Endurance Series","2019","3","N/A","7","2717",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"25","72","Mercedes AMG GT3","59","GT3 Class","-40350","-40350","Rusty Spatulas","17","6","0","Running","-5 L","0","","1:36.512","1:32.021","30","112","22","76","0","0","","","","","","","","","VRS GT Endurance Series","100","0","76"
"25","72","Mercedes AMG GT3","59","GT3 Class","-40350","16692","Jan Zilliacus","17","6","0","Running","-","0","","1:38.226","1:32.021","30","70","19","76","0","2","44","Finland","2803","2794","19","336","19","331","VRS GT Endurance Series","100","0","76"
"25","72","Mercedes AMG GT3","59","GT3 Class","-40350","222088","Mika Takala","17","6","0","Running","-","0","","1:33.628","1:32.737","95","42","3","76","0","2","44","Finland","3351","3345","18","220","18","270","VRS GT Endurance Series","100","0","76"
"26","72","Mercedes AMG GT3","59","GT3 Class","-109090","-109090","Cronos SimRacers Team","31","54","0","Running","-7 L","0","","1:37.916","1:32.100","105","110","12","72","0","0","","","","","","","","","VRS GT Endurance Series","100","0","72"
"26","72","Mercedes AMG GT3","59","GT3 Class","-109090","278763","Albert Molinero","31","54","0","Running","-","0","","1:40.514","1:32.100","105","66","10","72","0","3","38","Iberia","2530","2531","20","499","20","499","VRS GT Endurance Series","100","0","72"
"26","72","Mercedes AMG GT3","59","GT3 Class","-109090","339222","Jonathan Delgado","31","54","0","Running","-","0","","1:34.049","1:32.675","86","44","2","72","0","4","38","Iberia","1929","1929","19","396","20","470","VRS GT Endurance Series","100","0","72"
"27","72","Mercedes AMG GT3","59","GT3 Class","-95452","-95452","SpeedTek Simsport #55","26","10","0","Running","-13 L","0","","1:33.295","1:32.002","7","104","17","68","0","0","","","","","","","","","VRS GT Endurance Series","100","0","68"
"27","72","Mercedes AMG GT3","59","GT3 Class","-95452","275685","Jon Haines","26","10","0","Running","-","0","","1:33.599","1:32.798","35","42","6","68","0","3","6","California Club","2226","2223","17","142","18","244","VRS GT Endurance Series","100","0","68"
"27","72","Mercedes AMG GT3","59","GT3 Class","-95452","304236","Benediktas Sinkevicius","26","10","0","Running","-","0","","1:32.396","1:32.002","7","25","6","68","0","2","43","Scandinavia","2676","2674","18","288","18","291","VRS GT Endurance Series","100","0","68"
"27","72","Mercedes AMG GT3","59","GT3 Class","-95452","362278","Bradley Mall","26","10","0","Running","-","0","","1:33.523","1:32.427","101","37","5","68","0","3","33","Northwest","2442","2440","17","150","18","245","VRS GT Endurance Series","100","0","68"
